Packet,1_2_Id,2_0_1_7_Id,Status
CSUnknownPacket_0x021,,0x021,NEW_IN_2_0
CSUnknownPacket_0x022,,0x022,NEW_IN_2_0
CSUnknownPacket_0x025,,0x025,NEW_IN_2_0
CSUnknownPacket_0x027,,0x027,NEW_IN_2_0
CSUnknownPacket_0x02a,,0x02a,NEW_IN_2_0
CSUnknownPacket_0x033,,0x033,NEW_IN_2_0
CSUnknownPacket_0x042,,0x042,NEW_IN_2_0
CSUnknownPacket_0x046,,0x046,NEW_IN_2_0
CSUnknownPacket_0x04a,,0x04a,NEW_IN_2_0
CSUnknownPacket_0x054,,0x054,NEW_IN_2_0
CSUnknownPacket_0x055,,0x055,NEW_IN_2_0
CSUnknownPacket_0x05f,,0x05f,NEW_IN_2_0
CSUnknownPacket_0x061,,0x061,NEW_IN_2_0
CSUnknownPacket_0x063,,0x063,NEW_IN_2_0
CSUnknownPacket_0x066,,0x066,NEW_IN_2_0
CSUnknownPacket_0x06b,,0x06b,NEW_IN_2_0
CSUnknownPacket_0x07d,,0x07d,NEW_IN_2_0
CSUnknownPacket_0x080,,0x080,NEW_IN_2_0
CSUnknownPacket_0x082,,0x082,NEW_IN_2_0
CSUnknownPacket_0x08a,,0x08a,NEW_IN_2_0
CSUnknownPacket_0x08b,,0x08b,NEW_IN_2_0
CSUnknownPacket_0x08e,,0x08e,NEW_IN_2_0
CSUnknownPacket_0x08f,,0x08f,NEW_IN_2_0
CSUnknownPacket_0x096,,0x096,NEW_IN_2_0
CSUnknownPacket_0x099,,0x099,NEW_IN_2_0
CSUnknownPacket_0x09c,,0x09c,NEW_IN_2_0
CSUnknownPacket_0x09f,,0x09f,NEW_IN_2_0
CSUnknownPacket_0x0ac,,0x0ac,NEW_IN_2_0
CSUnknownPacket_0x0ad,,0x0ad,NEW_IN_2_0
CSUnknownPacket_0x0b2,,0x0b2,NEW_IN_2_0
CSUnknownPacket_0x0be,,0x0be,NEW_IN_2_0
CSUnknownPacket_0x0ce,,0x0ce,NEW_IN_2_0
CSUnknownPacket_0x0d4,,0x0d4,NEW_IN_2_0
CSUnknownPacket_0x0da,,0x0da,NEW_IN_2_0
CSUnknownPacket_0x0db,,0x0db,NEW_IN_2_0
CSUnknownPacket_0x0e0,,0x0e0,NEW_IN_2_0
CSUnknownPacket_0x0e5,,0x0e5,NEW_IN_2_0
CSUnknownPacket_0x0e8,,0x0e8,NEW_IN_2_0
CSUnknownPacket_0x0f4,,0x0f4,NEW_IN_2_0
CSUnknownPacket_0x0f7,,0x0f7,NEW_IN_2_0
CSUnknownPacket_0x0fc,,0x0fc,NEW_IN_2_0
CSUnknownPacket_0x103,,0x103,NEW_IN_2_0
CSUnknownPacket_0x10e,,0x10e,NEW_IN_2_0
CSUnknownPacket_0x117,,0x117,NEW_IN_2_0
CSUnknownPacket_0x11d,,0x11d,NEW_IN_2_0
CSUnknownPacket_0x123,,0x123,NEW_IN_2_0
CSUnknownPacket_0x137,,0x137,NEW_IN_2_0
CSUnknownPacket_0x13c,,0x13c,NEW_IN_2_0
CSUnknownPacket_0x13d,,0x13d,NEW_IN_2_0
CSUnknownPacket_0x146,,0x146,NEW_IN_2_0
CSUnknownPacket_0x149,,0x149,NEW_IN_2_0
CSUnknownPacket_0x14d,,0x14d,NEW_IN_2_0
CSUnknownPacket_0x151,,0x151,NEW_IN_2_0
CSUnknownPacket_0x155,,0x155,NEW_IN_2_0
CSUnknownPacket_0x162,,0x162,NEW_IN_2_0
CSUnknownPacket_0x16c,,0x16c,NEW_IN_2_0
CSUnknownPacket_0x170,,0x170,NEW_IN_2_0
CSUnknownPacket_0x171,,0x171,NEW_IN_2_0
CSUnknownPacket_0x175,,0x175,NEW_IN_2_0
CSUnknownPacket_0x17c,,0x17c,NEW_IN_2_0
CSUnMountMatePacket,0x0a8,0x111,RENUMBERED
CSUpdateActionSlotPacket,0x0b6,0x035,RENUMBERED
CSUpdateBountyPacket,,0x0b7,NEW_IN_2_0
CSUpdateDominionTaxRatePacket,0x012,0x101,RENUMBERED
CSUpdateNationalTaxRatePacket,0xfff,0x0d1,RENUMBERED
CSUpgradeExpertLimitPacket,0x0ff,0x12c,RENUMBERED
CSUsePortalPacket,0x0de,0x10a,RENUMBERED
CSUseTeleportPacket,0x0b3,0x0a7,RENUMBERED
CSWithdrawMoneyPacket,0x048,0x05d,RENUMBERED
CSWorldRayCastingPacket,,0x085,NEW_IN_2_0
X2EnterWorldPacket,0x000,0x00,RENUMBERED

