Packet,1_2_Id,2_0_1_7_Id,Status
SCGotMailPacket,0x118,0x021,RENUMBERED
SCGradeEnchantBroadcasPacket,,0x1f4,NEW_IN_2_0
SCGradeEnchantBroadcastPacket,0x9f,0xfff,RENUMBERED
SCGradeEnchantResulPacket,,0x12b,NEW_IN_2_0
SCGradeEnchantResultPacket,0x9c,0xfff,RENUMBERED
SCHackGuardRetAddrsRequestPacket,0x1c6,0x203,RENUMBERED
SCHouseBuildPayChangedPacket,0xbf,0xfff,RENUMBERED
SCHouseBuildProgressPacket,0xbd,0x18d,RENUMBERED
SCHouseDemolishedPacket,0xc0,0x29c,RENUMBERED
SCHouseFarmPacket,0xc3,0x248,RENUMBERED
SCHouseOwnerNameChangedPacket,0xcb,0x111,RENUMBERED
SCHousePermissionChangedPacket,0xbe,0x15d,RENUMBERED
SCHouseResetForSalePacket,0xc9,0x1e5,RENUMBERED
SCHouseSetForSalePacket,0xc8,0x049,RENUMBERED
SCHouseSoldPacket,0xca,0x19c,RENUMBERED
SCHouseStatePacket,0xbc,0x05b,RENUMBERED
SCHouseTaxInfoPacket,0xc4,0x283,RENUMBERED
SCHousingRecoverTogglePacket,0xc6,0x14f,RENUMBERED
SCHSRequestPacket,0x1c5,0x1c1,RENUMBERED
SCHungPacket,0x137,0x0b6,RENUMBERED
SCICSBuyResultPacket,0x1d3,0x0fc,RENUMBERED
SCICSCashPointPacket,0x1d6,0x26b,RENUMBERED
SCICSCheckTimePacket,0x1d2,0x206,RENUMBERED
SCICSExchangeRatioPacket,0x1d7,0x076,RENUMBERED
SCICSGoodDetailPacket,0x1d1,0x208,RENUMBERED
SCICSGoodListPacket,0x1d0,0x03e,RENUMBERED
SCICSMenuListPacket,0x1cf,0x105,RENUMBERED
SCICSSyncGoodPacket,0x1d4,0x1b4,RENUMBERED
SCIdleKickPacket,0x216,0x0e7,RENUMBERED
SCimpactVelPacket,,0x138,NEW_IN_2_0
SCInGameShopConfigPacket,,0x1f8,NEW_IN_2_0
SCInitialConfigPacket,0x06,0x181,RENUMBERED
SCInstantGameAddPointPacket,0x193,0x025,RENUMBERED
SCInstantGameEndPacket,0x192,0x10f,RENUMBERED
SCInstantGameInviteTimeoutPacket,0x18f,0x221,RENUMBERED
SCInstantGameJoinedPacket,0x190,0x1a3,RENUMBERED
SCInstantGameKillPacket,0x194,0x20f,RENUMBERED
SCInstantGameKillstreakPacket,0x195,0x164,RENUMBERED
SCInstantGamePacket,,0x00f,NEW_IN_2_0
SCInstantGameStartPacket,0x191,0x10a,RENUMBERED
SCInstantGameStatePacket,0x18d,0x1e0,RENUMBERED
SCInstantGameUnkPacket,0x196,,REMOVED_IN_2_0
SCInvenExpandedPacket,0x4d,0x199,RENUMBERED
SCInvitationCanceledPacket,0x1dd,0x008,RENUMBERED
SCInviteJuryPacket,0x172,0x151,RENUMBERED
SCInviteToInstantGamePacket,0x18e,0x12d,RENUMBERED
SCIsUnitInFarmPacket,0x1c9,0x11d,RENUMBERED
SCItemAcquisitionPacket,0x97,,REMOVED_IN_2_0
SCItemAcquisitioPacket,,0x28d,NEW_IN_2_0
SCItemDetailUpdatedPacket,0x93,,REMOVED_IN_2_0
SCItemSocketingLunagemResultPacket,0x9d,0x012,RENUMBERED
SCItemSocketingLunastoneResultPacket,0x9e,0x135,RENUMBERED
SCItemTaskNotifyPacket,0x91,0x024,RENUMBERED
SCItemTaskSuccessPacket,0x90,0x1b7,RENUMBERED
SCItemUccDataChangedPacket,0x15d,0x036,RENUMBERED
SCJoinedChatChannelPacket,0xcc,0x287,RENUMBERED
SCJoinedTeamPacket,0xd6,0x0CA,RENUMBERED
SCJuryBeSeatedPacket,0x174,0x10e,RENUMBERED
SCJuryPointChangedPacket,0x18a,0x01d,RENUMBERED
SCJuryWaitingNumberPacket,0x182,0x10c,RENUMBERED
SCJuryWaitStatusPacket,0x17c,0x0ad,RENUMBERED
SCKickedPacket,0x1a0,0x163,RENUMBERED
SCKnockBackUniPacket,,0x1d9,NEW_IN_2_0
SCKnockBackUnitPacket,0x74,0xfff,RENUMBERED
SCLeavedChatChannelPacket,0xcd,0x170,RENUMBERED
SCLeavedTeamPacket,0xd8,0x1af,RENUMBERED
SCLeaveWorldCanceledPacket,0x04,0x158,RENUMBERED
SCLeaveWorldGrantedPacket,0x03,0x207,RENUMBERED
SCLevelChangedPacket,0x102,0x1e3,RENUMBERED
SCLevelRestrictionConfigPacket,0x217,0x1a6,RENUMBERED
SCLoadInstancePacket,0x197,0x039,RENUMBERED
SCLoginCharInfoHousePacket,0x57,0x051,RENUMBERED
SCLootableStatePacket,0xf6,0x1b0,RENUMBERED
SCLootBagDataPacket,0xf8,0x0b8,RENUMBERED
SCLootDiceNotifyPacket,0xfc,0x23b,RENUMBERED
SCLootDicePacket,0xfb,0x078,RENUMBERED
SCLootDiceSummaryPacket,0xfd,0x168,RENUMBERED
SCLootItemFailedPacket,0xfa,0x261,RENUMBERED
SCLootItemTookPacket,0xf9,0x186,RENUMBERED
SCLpManagedPacket,0x48,0x117,RENUMBERED
SCMailBodyPacket,0x11b,0x0e3,RENUMBERED
SCMailDeletedPacket,0x11f,0x0d3,RENUMBERED
SCMailFailedPacket,0x115,0x006,RENUMBERED
SCMailListEndPacket,0x11a,0x19e,RENUMBERED
SCMailListPacket,0x119,0x1fb,RENUMBERED
SCMailReceiverOpenedPacket,0x11c,0x0e6,RENUMBERED
SCMailRemovedPacket,0x123,0x274,RENUMBERED
SCMailReturnedPacket,0x121,0x1a9,RENUMBERED
SCMailSentPacket,0x117,0x01f,RENUMBERED
SCMailStatusUpdatedPacket,0x122,0x255,RENUMBERED
SCMateEquipmentChangedPacket,0x126,0x1c9,RENUMBERED
SCMateEquipmentExpiredPacket,0x127,0x1f2,RENUMBERED
SCMateSpawnedPacket,0x125,0x1d6,RENUMBERED
SCMateStatePacket,0x1ac,0x18f,RENUMBERED
SCMileageChangedPacket,0x101,0x279,RENUMBERED
SCMineAmountPacket,0x124,0x082,RENUMBERED
SCMouldAskedPacket,0x1ef,0x0a4,RENUMBERED
SCMouldListPacket,0x1ee,0x16e,RENUMBERED
SCMouldTakenPacket,0x1f0,0x08f,RENUMBERED
SCMyHousePacket,0xc1,,REMOVED_IN_2_0
SCMyHouseRemovedPacket,0xc2,0x159,RENUMBERED
SCMyHouseStatePacket,,0x17b,NEW_IN_2_0
SCMySlavePacket,0x66,0x1ab,RENUMBERED
SCNationalMonumentChangedPacket,0x22,0x0f0,RENUMBERED
SCNationalTaxRatePacket,0x21,0x103,RENUMBERED
SCNationShowRenameUIPacket,0x10,,REMOVED_IN_2_0
SCNaviTeleportPacket,0x15c,0x14b,RENUMBERED
SCNoticeMessagePacket,0xd0,0x1dc,RENUMBERED
SCNotifyResurrectionPacket,0x41,0x011,RENUMBERED
SCNotifyUIMessagePacket,0x1cc,0x1d2,RENUMBERED
SCNpcChatMessagePacket,0xcf,0x1da,RENUMBERED
SCNpcFriendshipChangedPacket,0x83,0x07d,RENUMBERED
SCNpcFriendshipListPacket,0x82,0x19f,RENUMBERED
SCNpcInteractionEndedByZonePacket,0x7c,0x106,RENUMBERED
SCNpcInteractionSkillListPacket,0x7b,0x173,RENUMBERED
SCNpcInteractionStatusChangedPacket,0x80,0x1d5,RENUMBERED
SCNpcSpawnerPacket,0x135,,REMOVED_IN_2_0
SCOneUnitMovementPacket,0x6c,0x268,RENUMBERED
SCOnOffSnowPacket,0xb4,0x134,RENUMBERED
SCOtherTradeItemPutupPacket,0x163,0x220,RENUMBERED
SCOtherTradeItemTookdownPacket,0x167,0x253,RENUMBERED
SCOtherTradeMoneyPutupPacket,0x165,0x0d2,RENUMBERED
SCOverHeadMarkerSetPacket,0xe6,0x0d4,RENUMBERED
SCPauseUserMusicPacket,0x1e1,0x0fe,RENUMBERED
SCPlaySequencePacket,0x13b,0x0bb,RENUMBERED
SCPlaySoundPacket,0x1de,0x189,RENUMBERED
SCPlaytimePacket,0x59,0x136,RENUMBERED
SCPlotCastingStoppedPacket,0xb1,0x05d,RENUMBERED
SCPlotChannelingStoppedPacket,0xb2,0x216,RENUMBERED
SCPlotEndedPacket,0xaf,0x114,RENUMBERED
SCPlotEventPacket,0xae,0x047,RENUMBERED
SCPlotProcessingTimePacket,0xb0,0x197,RENUMBERED
SCPortalDeletedPacket,0x5e,0x1e8,RENUMBERED
SCPortalInfoSavedPacket,0x5d,0x171,RENUMBERED
SCPremiumPointChangedPacket,0x202,0x09d,RENUMBERED
SCPremiumServiceListPacket,0x1d8,0x229,RENUMBERED
SCPrepareLeaveWorldPacket,0x02,0x1bb,RENUMBERED
SCProcessingInstancePacket,0x198,0x0d9,RENUMBERED
SCQuestContextCompletedPacket,0x14b,0x150,RENUMBERED
SCQuestContextFailedPacket,0x146,0x260,RENUMBERED
SCQuestContextResetPacket,0x14c,0x014,RENUMBERED
SCQuestContextStartedPacket,0x147,0x1c6,RENUMBERED
SCQuestContextUpdatedPacket,0x149,0x28a,RENUMBERED
SCQuestListPacket,0x65,,REMOVED_IN_2_0
SCQuestMailSentPacket,0x150,0x1ba,RENUMBERED
SCQuestRewardedByMailPacket,0x14e,0x02d,RENUMBERED
SCQuestsPacket,0xf2,0x055,RENUMBERED
SCQuestUnitReqFailedPacket,0x148,0x1c3,RENUMBERED
SCRaceCondPacket,0x1f6,0x0c8,RENUMBERED
SCRaceCongestionPacket,0x3f,0x068,RENUMBERED
SCRacingPacket,0x1f7,0x285,RENUMBERED
SCRacingResultPacket,0x1f8,0x084,RENUMBERED
SCRankAlarmPacket,0x205,0x00a,RENUMBERED
SCRankCharacterPacket,0x1fa,0x236,RENUMBERED
SCRankRewardMailPacket,0x1f9,0x273,RENUMBERED
SCRankSnapshotPacket,0x1fb,0x07a,RENUMBERED
SCReconnectAuthPacket,0x01,0x14a,RENUMBERED
SCRecoverableExpPacket,0x100,0x1a0,RENUMBERED
SCRefreshInCharacterListPacket,0x1cd,0x027,RENUMBERED
SCRefreshTeamMemberPacket,0xe3,0x004,RENUMBERED
SCRejectedTeamPacket,0xd7,0x25c,RENUMBERED
SCResponseCommonFarmListPacket,0x1b1,0x19d,RENUMBERED
SCResponseUIDataPacket,0x1ca,0x03c,RENUMBERED
SCRestrictInfoPacket,0x1c8,0x24b,RENUMBERED
SCResultRestrictCheckPacket,0x1ce,0x296,RENUMBERED
SCRulingClosedPacket,0x17e,0x20c,RENUMBERED
SCRulingStatusPacket,0x17d,0x045,RENUMBERED
SCScheduledEventEndedPacket,0x1ed,0x1fe,RENUMBERED
SCScheduledEventStartedPacket,0x1ec,0x1eb,RENUMBERED
SCScheduleItemSentPacket,0x151,0x022,RENUMBERED
SCScheduleItemUpdatePacket,0x1eb,0x08c,RENUMBERED
SCSchoolOfFishDoodadsPacket,0x1b7,0x0e5,RENUMBERED
SCSchoolOfFishFinderToggledPacket,0x1b6,0x01e,RENUMBERED
SCSearchListPacket,0x4f,0x142,RENUMBERED
SCSecondPassAccountLockedPacket,0x1e9,0x0b7,RENUMBERED
SCSecondPassChangedPacket,0x1e5,0x237,RENUMBERED
SCSecondPassCheckedPacket,0x1e6,0x160,RENUMBERED
SCSecondPassCheckOverFailedPacket,0x1e8,0x050,RENUMBERED
SCSecondPassClearedPacket,0x1e7,0x1ef,RENUMBERED
SCSecondPassCreatedPacket,0x1ea,0x0f1,RENUMBERED
SCSecondPassKeyTablesPacket,0x1e4,0x1de,RENUMBERED
SCSecondPassSettedPacket,0x1e3,0x20b,RENUMBERED
SCSendUserMusicPacket,0x1df,0x020,RENUMBERED
SCSetBountyDonePacket,0x1db,0x21a,RENUMBERED
SCSetBountyPermittedPacket,0x1da,0x0e8,RENUMBERED
SCSetBreathPacket,0x1bc,0x1e4,RENUMBERED
SCShipyardStatePacket,0x1aa,0x28c,RENUMBERED
SCShowCommonFarmPacket,0x1b0,0x17a,RENUMBERED
SCShowDemoModeUiPacket,0x1b8,,REMOVED_IN_2_0
SCShowQuestAreaPacket,0x1af,0x25e,RENUMBERED
SCSiegeAlertPacket,0xed,0x227,RENUMBERED
SCSiegeDeclaredPacket,0xea,0x262,RENUMBERED
SCSiegeMemberPacket,0xec,0x087,RENUMBERED
SCSiegeReinforcePacket,0xeb,0x233,RENUMBERED
SCSiegeStatePacket,0xe9,0x0f4,RENUMBERED
SCSkillControllerStatePacket,0x6d,0x24e,RENUMBERED
SCSkillCooldownResetPacket,0xad,0x080,RENUMBERED
SCSkillEndedPacket,0xa3,0x0ff,RENUMBERED
SCSkillFiredPacket,0xa2,0x22c,RENUMBERED
SCSkillLearnedPacket,0x105,0x0d0,RENUMBERED
SCSkillsResetPacket,0x108,0x0b0,RENUMBERED
SCSkillStartedPacket,0xa1,0x123,RENUMBERED
